Topic,Question,Link
5,28,https://www.examtopics.com/discussions/microsoft/view/95682-exam-az-800-topic-5-question-28-discussion/
5,29,https://www.examtopics.com/discussions/microsoft/view/101487-exam-az-800-topic-5-question-29-discussion/
5,30,https://www.examtopics.com/discussions/microsoft/view/112169-exam-az-800-topic-5-question-30-discussion/
5,31,https://www.examtopics.com/discussions/microsoft/view/116078-exam-az-800-topic-5-question-31-discussion/
5,32,https://www.examtopics.com/discussions/microsoft/view/112418-exam-az-800-topic-5-question-32-discussion/
5,33,https://www.examtopics.com/discussions/microsoft/view/112419-exam-az-800-topic-5-question-33-discussion/
5,34,https://www.examtopics.com/discussions/microsoft/view/123001-exam-az-800-topic-5-question-34-discussion/
5,35,https://www.examtopics.com/discussions/microsoft/view/125793-exam-az-800-topic-5-question-35-discussion/
5,36,https://www.examtopics.com/discussions/microsoft/view/121555-exam-az-800-topic-5-question-36-discussion/
5,37,https://www.examtopics.com/discussions/microsoft/view/124890-exam-az-800-topic-5-question-37-discussion/
5,38,https://www.examtopics.com/discussions/microsoft/view/124891-exam-az-800-topic-5-question-38-discussion/
5,39,https://www.examtopics.com/discussions/microsoft/view/121557-exam-az-800-topic-5-question-39-discussion/
5,40,https://www.examtopics.com/discussions/microsoft/view/126447-exam-az-800-topic-5-question-40-discussion/
5,41,https://www.examtopics.com/discussions/microsoft/view/131308-exam-az-800-topic-5-question-41-discussion/
5,42,https://www.examtopics.com/discussions/microsoft/view/142728-exam-az-800-topic-5-question-42-discussion/
5,43,https://www.examtopics.com/discussions/microsoft/view/138657-exam-az-800-topic-5-question-43-discussion/
5,47,https://www.examtopics.com/discussions/microsoft/view/145983-exam-az-800-topic-5-question-47-discussion/
6,1,https://www.examtopics.com/discussions/microsoft/view/85853-exam-az-800-topic-6-question-1-discussion/
6,2,https://www.examtopics.com/discussions/microsoft/view/85854-exam-az-800-topic-6-question-2-discussion/
6,3,https://www.examtopics.com/discussions/microsoft/view/85971-exam-az-800-topic-6-question-3-discussion/
6,4,https://www.examtopics.com/discussions/microsoft/view/81925-exam-az-800-topic-6-question-4-discussion/
7,1,https://www.examtopics.com/discussions/microsoft/view/81926-exam-az-800-topic-7-question-1-discussion/
7,2,https://www.examtopics.com/discussions/microsoft/view/84224-exam-az-800-topic-7-question-2-discussion/
7,3,https://www.examtopics.com/discussions/microsoft/view/76577-exam-az-800-topic-7-question-3-discussion/
7,4,https://www.examtopics.com/discussions/microsoft/view/76244-exam-az-800-topic-7-question-4-discussion/
7,5,https://www.examtopics.com/discussions/microsoft/view/83520-exam-az-800-topic-7-question-5-discussion/
8,1,https://www.examtopics.com/discussions/microsoft/view/87082-exam-az-800-topic-8-question-1-discussion/
9,1,https://www.examtopics.com/discussions/microsoft/view/75005-exam-az-800-topic-9-question-1-discussion/
10,1,https://www.examtopics.com/discussions/microsoft/view/94004-exam-az-800-topic-10-question-1-discussion/
10,2,https://www.examtopics.com/discussions/microsoft/view/75608-exam-az-800-topic-10-question-2-discussion/
11,1,https://www.examtopics.com/discussions/microsoft/view/86946-exam-az-800-topic-11-question-1-discussion/
11,2,https://www.examtopics.com/discussions/microsoft/view/76985-exam-az-800-topic-11-question-2-discussion/
11,3,https://www.examtopics.com/discussions/microsoft/view/76986-exam-az-800-topic-11-question-3-discussion/
11,4,https://www.examtopics.com/discussions/microsoft/view/75610-exam-az-800-topic-11-question-4-discussion/
12,1,https://www.examtopics.com/discussions/microsoft/view/104461-exam-az-800-topic-12-question-1-discussion/
13,1,https://www.examtopics.com/discussions/microsoft/view/75396-exam-az-800-topic-13-question-1-discussion/
13,2,https://www.examtopics.com/discussions/microsoft/view/82713-exam-az-800-topic-13-question-2-discussion/
